cohort,k,n_k,base_rate_k,auc,auc_lo,auc_hi,ap,brier,ece,bias,precision,recall,f1
variable,1,5707,0.23199579463816367,0.7482317185390134,0.7349091709562764,0.7626852997952386,0.49047493043172297,0.15357864112275385,0.03299231723413416,0.004402634459990755,0.5520661157024793,0.25226586102719034,0.3462934162778642
variable,2,3587,0.35098968497351546,0.7121745767245592,0.6941542004430052,0.7300326462942305,0.6293926399970178,0.19691028605817898,0.06542184233241219,-0.015873772369587077,0.6303448275862069,0.36298649722001586,0.46068548387096775
variable,3,2555,0.43796477495107633,0.7618238155336664,0.7427383478985939,0.7803891441814257,0.7720518066347122,0.1906402957063866,0.06624200629059465,-0.0029165792641632766,0.7256317689530686,0.5388739946380697,0.6184615384615385
variable,4,1829,0.5079278294149808,0.7901758162899175,0.768575845343557,0.8104312383401536,0.8353942379310573,0.18464077469682053,0.06034153842450232,-0.004765950725859409,0.7707509881422925,0.6297093649085038,0.693127962085308
variable,5,1346,0.5638930163447251,0.8264662774699068,0.8066008270229003,0.8458936247674508,0.885640636602131,0.1686604540940328,0.06156252005329857,0.015468619004124443,0.7898448519040903,0.7378129117259552,0.7629427792915532
variable,6,934,0.6231263383297645,0.8442478912839737,0.8190515523591132,0.8672666600249661,0.9156394861418944,0.1599989369007738,0.054013426788550145,0.006216680794571414,0.8306010928961749,0.7835051546391752,0.8063660477453581
variable,7,682,0.6730205278592375,0.8659495686665297,0.8388301376132541,0.893706349456702,0.942329489956637,0.14494680275312338,0.06352791610198465,0.010315417888358559,0.8366013071895425,0.8366013071895425,0.8366013071895425
variable,8,478,0.7301255230125523,0.8873858865862596,0.8577211230226217,0.9148339625561926,0.961907462370994,0.12706385267458903,0.06726328930798063,-0.005536894002251286,0.8830409356725146,0.8653295128939829,0.874095513748191
fixed,1,478,0.7301255230125523,0.6184669376513182,0.5566283453014584,0.6746860988183204,0.7875200218249708,0.38185714540549176,0.425235912377194,-0.40913562768306505,0.7763157894736842,0.16905444126074498,0.2776470588235294
fixed,2,478,0.7301255230125523,0.6311499078207947,0.5727947918369293,0.6838569726618874,0.815109631602585,0.34676523140613424,0.37322133663402685,-0.348703489977882,0.7886178861788617,0.27793696275071633,0.4110169491525424
fixed,3,478,0.7301255230125523,0.6924768441394017,0.6400596077334426,0.7423866822424765,0.8624490210700312,0.2876950245388082,0.2961482335092445,-0.2737046035521013,0.8674698795180723,0.41260744985673353,0.5592233009708738
fixed,4,478,0.7301255230125523,0.7250394260456232,0.6733176533157277,0.7707590253919392,0.8830157001664218,0.25499564846994244,0.25265507521614367,-0.2284464407478416,0.8613861386138614,0.498567335243553,0.631578947368421
fixed,5,478,0.7301255230125523,0.7718398080895581,0.7242744674199793,0.8143759032268377,0.9099340740676429,0.2123161516300104,0.18172013573348522,-0.16366588833223583,0.8663967611336032,0.6131805157593123,0.7181208053691275
fixed,6,478,0.7301255230125523,0.8030252548810555,0.7612101110450583,0.8399786439747985,0.9261818495240153,0.18569593947595145,0.1355379922549283,-0.11618534620134274,0.8941605839416058,0.7020057306590258,0.7865168539325843
fixed,7,478,0.7301255230125523,0.8507585349059329,0.8160759354614273,0.8795674406170179,0.9479854382273735,0.14942828979822398,0.07540439616764066,-0.051439877634548506,0.88125,0.8080229226361032,0.8430493273542601
fixed,8,478,0.7301255230125523,0.8873858865862596,0.8577211230226217,0.9148339625561926,0.961907462370994,0.12706385267458903,0.06726328930798063,-0.005536894002251286,0.8830409356725146,0.8653295128939829,0.874095513748191
